scan_time_utc,ticker,company_name,sec_insider_score,congressional_score,procurement_score,ownership_score,event_intel_score,signal_count,days_since_latest_event,confidence_label,event_tags,top_sources,reason,baseline_sample_size,baseline_window_days,baseline_event_intel_median,baseline_signal_count_median,baseline_days_since_latest_event_median,event_intel_score_z,signal_count_z,freshness_z,anomaly_score,anomaly_label,anomaly_flags,anomaly_reason,novel_tag_count,novel_source_count
2026-03-15T18:45:31Z,LMT,LOCKHEED MARTIN CORP,9.97,0.0,0.0,0.0,3.99,28,2.0,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 2 day(s) ago, insider selling detected for lmt",,,,,,,,,,,,,,
2026-03-15T18:46:11Z,NVDA,NVIDIA CORP,9.2,0.0,0.0,0.0,3.68,13,4.0,Insider Activity Watch,"buy, form4, insider, open_market_sale, parsed, sell, unparsed",SEC EDGAR,"meaningful insider filing activity, latest event 4 day(s) ago, insider selling detected for nvda",,,,,,,,,,,,,,
2026-03-15T18:46:49Z,TSLA,"Tesla, Inc.",8.11,0.0,0.0,0.0,3.24,2,6.0,Insider Activity Watch,"form4, insider, open_market_sale, option_exercise, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 6 day(s) ago, insider selling detected for tsla",,,,,,,,,,,,,,
2026-03-15T18:44:47Z,BA,BOEING CO,7.47,0.0,0.0,0.0,2.99,28,10.0,Insider Activity Watch,"buy, form4, insider, open_market_buy, open_market_sale, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 10 day(s) ago, insider selling detected for ba",,,,,,,,,,,,,,
2026-03-15T18:46:22Z,PLTR,Palantir Technologies Inc.,7.47,0.0,0.0,0.0,2.99,10,11.0,Insider Activity Watch,"form4, insider, open_market_sale, option_exercise, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 11 day(s) ago, insider selling detected for pltr",,,,,,,,,,,,,,
2026-03-15T18:46:45Z,RTX,RTX Corp,7.47,0.0,0.0,0.0,2.99,23,20.0,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 20 day(s) ago, insider selling detected for rtx",,,,,,,,,,,,,,
2026-03-15T18:45:57Z,NOC,NORTHROP GRUMMAN CORP /DE/,7.32,0.0,0.0,0.0,2.93,24,12.0,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 12 day(s) ago, insider selling detected for noc",,,,,,,,,,,,,,
2026-03-15T18:43:56Z,AAPL,Apple Inc.,6.5,0.0,0.0,0.0,2.6,14,17.0,Insider Activity Watch,"administrative, buy, form4, insider, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 17 day(s) ago, insider accumulation detected for aapl",,,,,,,,,,,,,,
2026-03-15T18:44:59Z,INTC,INTEL CORP,6.5,0.0,0.0,0.0,2.6,11,12.0,Insider Activity Watch,"buy, form4, insider, open_market_buy, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 12 day(s) ago, insider accumulation detected for intc",,,,,,,,,,,,,,
2026-03-15T18:51:47Z,AMD,ADVANCED MICRO DEVICES INC,9.97,0.0,0.0,0.0,3.99,16,2.0,Insider Activity Watch,"administrative, buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 2 day(s) ago, insider selling detected for amd",,,,,,,,,,,,,,
2026-03-15T18:52:51Z,LMT,LOCKHEED MARTIN CORP,9.97,0.0,0.0,0.0,3.99,28,2.0,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 2 day(s) ago, insider selling detected for lmt",,,,,,,,,,,,,,
2026-03-15T18:53:26Z,NVDA,NVIDIA CORP,9.2,0.0,0.0,0.0,3.68,13,4.0,Insider Activity Watch,"buy, form4, insider, open_market_sale, parsed, sell, unparsed",SEC EDGAR,"meaningful insider filing activity, latest event 4 day(s) ago, insider selling detected for nvda",,,,,,,,,,,,,,
2026-03-15T18:54:00Z,TSLA,"Tesla, Inc.",8.11,0.0,0.0,0.0,3.24,2,6.0,Insider Activity Watch,"form4, insider, open_market_sale, option_exercise, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 6 day(s) ago, insider selling detected for tsla",,,,,,,,,,,,,,
2026-03-15T18:52:14Z,BA,BOEING CO,7.47,0.0,0.0,0.0,2.99,28,10.0,Insider Activity Watch,"buy, form4, insider, open_market_buy, open_market_sale, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 10 day(s) ago, insider selling detected for ba",,,,,,,,,,,,,,
2026-03-15T18:53:36Z,PLTR,Palantir Technologies Inc.,7.47,0.0,0.0,0.0,2.99,10,11.0,Insider Activity Watch,"form4, insider, open_market_sale, option_exercise, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 11 day(s) ago, insider selling detected for pltr",,,,,,,,,,,,,,
2026-03-15T18:53:56Z,RTX,RTX Corp,7.47,0.0,0.0,0.0,2.99,23,20.0,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 20 day(s) ago, insider selling detected for rtx",,,,,,,,,,,,,,
2026-03-15T18:53:14Z,NOC,NORTHROP GRUMMAN CORP /DE/,7.32,0.0,0.0,0.0,2.93,24,12.0,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 12 day(s) ago, insider selling detected for noc",,,,,,,,,,,,,,
2026-03-15T18:51:32Z,AAPL,Apple Inc.,6.5,0.0,0.0,0.0,2.6,14,17.0,Insider Activity Watch,"administrative, buy, form4, insider, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 17 day(s) ago, insider accumulation detected for aapl",,,,,,,,,,,,,,
2026-03-15T18:52:25Z,INTC,INTEL CORP,6.5,0.0,0.0,0.0,2.6,11,12.0,Insider Activity Watch,"buy, form4, insider, open_market_buy, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 12 day(s) ago, insider accumulation detected for intc",,,,,,,,,,,,,,
2026-03-15T21:04:16Z,ADPT,Adaptive Biotechnologies Corp,10.0,0.0,0.0,0.0,4.0,30,2.0,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, unparsed",SEC EDGAR,"meaningful insider filing activity, latest event 2 day(s) ago, insider selling detected for adpt",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:05:15Z,BW,"Babcock & Wilcox Enterprises, Inc.",9.43,0.0,0.0,0.0,3.77,4,6.0,Insider Activity Watch,"form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 6 day(s) ago, insider selling detected for bw",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:05:28Z,CERS,CERUS CORP,9.43,0.0,0.0,0.0,3.77,14,5.0,Insider Activity Watch,"buy, form4, insider, open_market_sale, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 5 day(s) ago, insider selling detected for cers",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:06:10Z,GDOT,GREEN DOT CORP,9.43,0.0,0.0,0.0,3.77,4,6.0,Insider Activity Watch,"form4, insider, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 6 day(s) ago, insider selling detected for gdot",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:04:45Z,AUR,"Aurora Innovation, Inc.",8.93,0.0,0.0,0.0,3.57,4,2.0,Insider Activity Watch,"buy, form4, insider, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 2 day(s) ago, insider accumulation detected for aur",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:03:36Z,ACDC,ProFrac Holding Corp.,8.45,0.0,0.0,0.0,3.38,5,4.0,Insider Activity Watch,"buy, form4, insider, parsed",SEC EDGAR,"meaningful insider filing activity, latest event 4 day(s) ago, insider accumulation detected for acdc",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:03:24Z,ABTC,American Bitcoin Corp.,8.0,0.0,0.0,0.0,3.2,7,6.0,Insider Activity Watch,"buy, form4, insider, open_market_buy, parsed",SEC EDGAR,"meaningful insider filing activity, latest event 6 day(s) ago, insider accumulation detected for abtc",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:04:57Z,BGC,"BGC Group, Inc.",7.96,0.0,0.0,0.0,3.18,2,6.0,Insider Activity Watch,"form4, insider, open_market_sale, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 6 day(s) ago, insider selling detected for bgc",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:05:09Z,BMBL,Bumble Inc.,7.96,0.0,0.0,0.0,3.18,2,3.0,Insider Activity Watch,"form4, insider, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 3 day(s) ago, insider selling detected for bmbl",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:04:51Z,AVO,"Mission Produce, Inc.",7.7,0.0,0.0,0.0,3.08,5,6.0,Insider Activity Watch,"buy, form4, insider, open_market_buy, parsed",SEC EDGAR,"meaningful insider filing activity, latest event 6 day(s) ago, insider accumulation detected for avo",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:05:07Z,BLND,"Blend Labs, Inc.",7.47,0.0,0.0,0.0,2.99,8,17.0,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 17 day(s) ago, insider selling detected for blnd",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:05:43Z,FTK,FLOTEK INDUSTRIES INC/CN/,7.36,0.0,0.0,0.0,2.94,4,13.0,Insider Activity Watch,"buy, form4, insider, open_market_sale, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 13 day(s) ago, insider selling detected for ftk",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:04:40Z,ANGX,"Angel Studios, Inc.",7.03,0.0,0.0,0.0,2.81,8,6.0,Insider Activity Watch,"administrative, form4, insider, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 6 day(s) ago, insider selling detected for angx",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:06:01Z,FWRD,FORWARD AIR CORP,6.5,0.0,0.0,0.0,2.6,14,20.0,Insider Activity Watch,"buy, form4, insider, open_market_buy, open_market_sale, parsed, sell, tax_withholding",SEC EDGAR,"meaningful insider filing activity, latest event 20 day(s) ago, insider accumulation detected for fwrd",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:03:30Z,ABX,"Abacus Global Management, Inc.",6.17,0.0,0.0,0.0,2.47,9,25.0,Insider Activity Watch,"buy, form4, insider, open_market_buy, open_market_sale, parsed, sell",SEC EDGAR,"meaningful insider filing activity, latest event 25 day(s) ago, insider selling detected for abx",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:05:39Z,ENGN,enGene Holdings Inc.,5.2,0.0,0.0,0.0,2.08,8,40.0,Low Event Signal,"buy, form4, insider, parsed",SEC EDGAR,"recent insider filings, latest event 40 day(s) ago, insider accumulation detected for engn",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:04:18Z,ALH,Alliance Laundry Holdings Inc.,4.75,0.0,0.0,0.0,1.9,1,53.0,Low Event Signal,"form4, insider, option_exercise, parsed, sell, tax_withholding",SEC EDGAR,"recent insider filings, latest event 53 day(s) ago, insider selling detected for alh",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:04:31Z,ALOY,REALLOYS INC.,1.95,0.0,0.0,0.0,0.78,6,10.0,Low Event Signal,"form4, insider, unparsed",SEC EDGAR,"recent insider filings, latest event 10 day(s) ago, recent form 4 filing for aloy",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:04:17Z,AERO,"Grupo Aeromexico, S.A.B. de C.V.",0.0,0.0,0.0,0.0,0.0,0,,Low Event Signal,,,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set,0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:04:41Z,ASTL,Algoma Steel Group Inc.,0.0,0.0,0.0,0.0,0.0,0,,Low Event Signal,,,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set,0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:04:52Z,AXIA,BRAZILIAN ELECTRIC POWER CO,0.0,0.0,0.0,0.0,0.0,0,,Low Event Signal,,,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set,0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:05:10Z,BSBR,Banco Santander (Brasil) S.A.,0.0,0.0,0.0,0.0,0.0,0,,Low Event Signal,,,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set,0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:05:28Z,CIG,ENERGY CO OF MINAS GERAIS,0.0,0.0,0.0,0.0,0.0,0,,Low Event Signal,,,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set,0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:05:29Z,CION,CION Investment Corp,0.0,0.0,0.0,0.0,0.0,0,,Low Event Signal,,,"no event-intel signals; SEC=recent Form 4 filings found, but no actionable transactions parsed; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:05:29Z,EGY,VAALCO ENERGY INC /DE/,0.0,0.0,0.0,0.0,0.0,0,,Low Event Signal,,,"no event-intel signals; SEC=recent Form 4 filings found, but no actionable transactions parsed; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set",0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:05:30Z,EH,EHang Holdings Ltd,0.0,0.0,0.0,0.0,0.0,0,,Low Event Signal,,,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set,0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T21:06:02Z,GAU,Galiano Gold Inc.,0.0,0.0,0.0,0.0,0.0,0,,Low Event Signal,,,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set,0.0,0.0,,,,0.0,0.0,0.0,0.0,No Baseline,,baseline unavailable: no prior scans for ticker,0.0,0.0
2026-03-15T22:26:12Z,ADPT,Adaptive Biotechnologies Corp,10.0,0.0,0.0,0.0,4.0,30,2.0,Insider Activity Watch,"buy, form4, insider, open_market_sale, option_exercise, parsed, sell, unparsed",SEC EDGAR,"meaningful insider filing activity, latest event 2 day(s) ago, insider selling detected for adpt",1,0,4.0,30.0,2.0,0.0,0.0,0.0,0.0,Baseline Building,,baseline still building from 1 prior scan(s),0,0
